使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
3276,2284,3,2,68.0,44.0,,0,,0,8,1366,76.2,6,2,1,48,0,0,0,0,134,142,Q2 中低
244127,1377,6,2,84.0,88.0,96.0,12,66.7,179,15,2956,59.9,27,2,0,173,0,0,0,0,0,27,Q1 低
77526,1377,3,1,88.0,92.0,,23,71.7,626,13,3004,83.0,8,0,4,34,0,0,0,0,0,36,Q1 低
51970,1377,6,3,88.0,84.0,96.0,14,71.4,744,41,7715,65.6,92,10,0,342,0,0,553,9247,175,783,Q4 高
80433,2284,6,1,36.0,12.0,40.0,11,68.2,256,1,182,43.0,0,0,0,6,0,0,250,10655,35,297,Q3 中高
141346,2284,6,3,68.0,64.0,,0,,0,0,0,,0,0,0,0,0,0,100,3975,98,198,Q2 中低
125252,2284,6,1,,80.0,,7,85.7,911,0,0,,0,0,0,0,0,0,275,5985,206,488,Q4 高
94080,2284,2,2,,76.0,,92,60.3,2447,17,4391,75.2,6,0,0,81,0,0,0,0,0,109,Q1 低
251097,2284,3,4,,84.0,,24,66.7,844,2,463,57.0,0,0,0,9,0,0,0,0,289,315,Q3 中高
76158,2284,6,2,88.0,48.0,60.0,0,,0,0,0,,0,0,0,0,0,0,0,0,41,41,Q1 低
147236,2284,6,3,,64.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,209,209,Q2 中低
6622,1377,5,2,100.0,88.0,96.0,6,33.3,624,14,2201,61.6,2,0,0,29,0,0,413,17053,0,433,Q3 中高
132515,1377,5,1,80.0,64.0,72.0,8,68.8,176,23,3716,55.7,14,9,0,96,0,0,0,0,0,31,Q1 低
87937,2284,5,1,,60.0,84.0,0,,0,0,0,,0,0,0,0,0,0,0,0,202,202,Q2 中低
98073,2284,4,2,,60.0,,3,66.7,165,4,807,61.8,0,0,0,5,0,0,0,0,8,15,Q1 低
228921,2284,3,2,,84.0,,28,78.6,843,15,2014,52.7,5,0,0,79,0,0,0,0,673,716,Q4 高
86496,2284,5,1,,64.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,634,634,Q4 高
88026,2284,5,4,64.0,44.0,72.0,4,75.0,162,1,94,36.0,0,0,0,1,0,0,0,0,276,281,Q3 中高
183651,2284,4,1,,,54.0,14,73.9,376,0,0,,0,0,0,0,0,0,0,0,249,263,Q3 中高
178381,2284,5,3,,,92.0,18,66.7,426,0,0,,0,0,0,0,0,19,0,0,196,233,Q2 中低
75110,1377,5,3,72.0,72.0,72.0,7,50.0,457,4,925,77.8,0,0,0,22,0,0,213,3488,0,224,Q2 中低
2766,2284,3,1,,84.0,,27,72.9,1183,5,1065,82.4,1,0,0,10,0,0,0,0,314,346,Q3 中高
77402,1377,5,3,88.0,72.0,80.0,95,65.3,3338,71,13311,83.8,13,0,0,187,0,0,170,4555,0,336,Q3 中高
88271,2284,5,1,,92.0,76.0,0,,0,7,2,0.1,0,0,0,1,0,0,0,0,183,190,Q2 中低
184449,2284,4,1,,,88.0,14,67.9,801,5,228,52.2,0,0,0,6,0,0,0,0,97,116,Q1 低
1016,1377,6,2,88.0,60.0,84.0,3,50.0,33,25,4270,62.1,20,6,0,237,0,0,15,305,0,43,Q1 低
75272,2284,6,2,,,56.0,0,,0,1,7,3.0,2,0,0,3,0,0,0,0,83,84,Q1 低
56500,1377,6,3,84.0,68.0,96.0,46,78.3,499,34,8281,75.5,16,49,0,297,0,0,412,9005,0,492,Q4 高
75816,1377,5,3,84.0,88.0,72.0,6,66.7,67,24,2833,41.8,10,0,0,248,0,0,878,19023,0,908,Q4 高
